event_id,username,ip_address,session_id,timestamp,is_bruteforce_candidate,is_anomalous,total_attempts,success_rate,failure_rate,distinct_ips,ip_entropy,avg_time_between_attempts,total_attempts_ip,distinct_usernames,success_rate_ip,attempts_per_minute,session_duration,ip_changes,user_agent_changes,login_hour,weekday,is_weekend,is_night,velocity_score,suspicious_ip_flag
evt_0,user_3,192.168.1.182,norm_sess_1898,2025-10-31 17:02:37.378222,0,0,478,0.5167364016736402,0.48326359832635984,59,1.5806738144363621,15.096234,9,7,1.0,0.0804718763173763,1220.0,1.0,1.0,17,4,0,0,28202,0
evt_1,user_4,192.168.1.197,norm_sess_9526,2025-10-31 17:02:37.378222,0,0,424,0.5919811320754716,0.4080188679245283,57,2.4664381926760655,17.029093,7,5,1.0,0.05907605887026658,2066.0,1.0,1.0,17,4,0,0,24168,0
evt_2,user_5,192.168.1.127,norm_sess_4304,2025-10-31 17:02:37.378222,0,0,288,0.6631944444444444,0.3368055555555556,59,2.6329613176372,25.096234,6,3,0.5,0.051203879988798384,1896.0,1.0,1.0,17,4,0,0,16992,0
evt_3,user_6,192.168.1.111,norm_sess_8241,2025-10-31 17:02:37.378222,0,0,100,0.8,0.2,63,5.831014064623284,72.730499,10,5,0.9,0.08420168322457051,3154.0,1.0,1.0,17,4,0,0,6300,0
evt_4,user_4,192.168.1.129,norm_sess_7597,2025-10-31 17:02:37.378222,0,0,424,0.5919811320754716,0.4080188679245283,57,2.4664381926760655,17.029093,11,6,0.8181818181818182,0.10010324202467984,2381.0,1.0,1.0,17,4,0,0,24168,0
evt_5,user_7,192.168.1.176,norm_sess_2350,2025-10-31 17:02:37.378222,0,0,559,0.32379248658318427,0.6762075134168157,50,1.8108123581913511,12.910593,7,5,0.42857142857142855,0.07297159363939831,2533.0,1.0,1.0,17,4,0,0,27950,0
evt_6,user_6,192.168.1.166,norm_sess_6669,2025-10-31 17:02:37.378222,0,0,100,0.8,0.2,63,5.831014064623284,72.730499,5,3,1.0,0.07816062962478612,1971.0,1.0,1.0,17,4,0,0,6300,0
evt_7,user_5,192.168.1.121,norm_sess_1749,2025-10-31 17:02:37.378222,0,0,288,0.6631944444444444,0.3368055555555556,59,2.6329613176372,25.096234,9,7,1.0,0.07574199249080563,2521.0,1.0,1.0,17,4,0,0,16992,0
evt_8,user_7,192.168.1.128,norm_sess_7311,2025-10-31 17:02:37.378222,0,0,559,0.32379248658318427,0.6762075134168157,50,1.8108123581913511,12.910593,11,8,0.8181818181818182,0.09387464154860645,3438.0,1.0,1.0,17,4,0,0,27950,0
evt_9,user_6,192.168.1.125,norm_sess_1846,2025-10-31 17:02:37.378222,0,0,100,0.8,0.2,63,5.831014064623284,72.730499,11,7,0.9090909090909091,0.09523679803869546,2255.0,1.0,1.0,17,4,0,0,6300,0
evt_10,user_3,192.168.1.128,norm_sess_4713,2025-10-31 17:02:37.378222,0,0,478,0.5167364016736402,0.48326359832635984,59,1.5806738144363621,15.096234,11,8,0.8181818181818182,0.09387464154860645,2942.0,1.0,1.0,17,4,0,0,28202,0
evt_11,user_5,192.168.1.148,norm_sess_7622,2025-10-31 17:02:37.378222,0,0,288,0.6631944444444444,0.3368055555555556,59,2.6329613176372,25.096234,7,4,0.7142857142857143,0.06105301174151505,1911.0,1.0,1.0,17,4,0,0,16992,0
evt_12,user_6,192.168.1.186,norm_sess_5019,2025-10-31 17:02:37.378222,0,0,100,0.8,0.2,63,5.831014064623284,72.730499,5,5,1.0,0.044474850047950695,1002.0,1.0,1.0,17,4,0,0,6300,0
