2025-10-31 19:02:37,367 - auth_scanner - INFO - Logging initialized. Scan log: c:\Users\vishal\Desktop\WEBSCAN_PRO\projects\auth_session\logs\scan_run_20251031_190237.log
2025-10-31 19:02:37,368 - auth_scanner - INFO - Raw events log: c:\Users\vishal\Desktop\WEBSCAN_PRO\projects\auth_session\logs\raw_login_events_20251031_190237.log
2025-10-31 19:02:37,368 - auth_scanner - INFO - Starting authentication scan for Dataset 1 generation...
2025-10-31 19:02:37,372 - auth_scanner - INFO - Loaded attack patterns from c:\Users\vishal\Desktop\WEBSCAN_PRO\projects\auth_session\data\attack_patterns.csv
2025-10-31 19:02:37,373 - auth_scanner - INFO - Columns found: ['pattern_id', 'description', 'attempt_rate', 'distributed_flag', 'notes']
2025-10-31 19:02:37,378 - auth_scanner - INFO - Generating normal traffic...
2025-10-31 19:02:37,378 - auth_scanner - INFO - Generating normal user traffic...
2025-10-31T19:02:37.380249 - {'timestamp': datetime.datetime(2025, 10, 31, 17, 28, 18, 154558), 'username': 'user_3', 'user_id': 'usr03', 'ip_address': '192.168.1.151', 'auth_result': 'failure', 'session_id': 'norm_sess_1226', 'user_agent': 'Browser_1', 'session_duration': 1150, 'response_time': 1.1775216507064334, 'request_size': 70, 'response_size': 1663, 'attempt_count_for_username': 2, 'attempt_count_from_ip': 3, 'time_since_last_attempt': 746, 'session_reused_flag': 0, 'password_correct_flag': 0, 'is_bruteforce_candidate': 0, 'is_anomalous': 0, 'failure_reason': 'bad_password'}
2025-10-31T19:02:37.380249 - {'timestamp': datetime.datetime(2025, 10, 31, 17, 55, 6, 827557), 'username': 'user_3', 'user_id': 'usr03', 'ip_address': '192.168.1.130', 'auth_result': 'success', 'session_id': 'norm_sess_6663', 'user_agent': 'Browser_1', 'session_duration': 1847, 'response_time': 1.264722196891314, 'request_size': 66, 'response_size': 1996, 'attempt_count_for_username': 1, 'attempt_count_from_ip': 6, 'time_since_last_attempt': 664, 'session_reused_flag': 0, 'password_correct_flag': 1, 'is_bruteforce_candidate': 0, 'is_anomalous': 0, 'failure_reason': ''}
2025-10-31T19:02:37.381261 - {'timestamp': datetime.datetime(2025, 10, 31, 17, 2, 37, 378222), 'username': 'user_4', 'user_id': 'usr04', 'ip_address': '192.168.1.199', 'auth_result': 'success', 'session_id': 'norm_sess_6890', 'user_agent': 'Browser_1', 'session_duration': 1365, 'response_time': 1.3061714346959936, 'request_size': 73, 'response_size': 1374, 'attempt_count_for_username': 2, 'attempt_count_from_ip': 1, 'time_since_last_attempt': 1818, 'session_reused_flag': 0, 'password_correct_flag': 1, 'is_bruteforce_candidate': 0, 'is_anomalous': 0, 'failure_reason': ''}
2025-10-31T19:02:37.381770 - {'timestamp': datetime.datetime(2025, 10, 31, 17, 2, 37, 378222), 'username': 'user_7', 'user_id': 'usr07', 'ip_address': '192.168.1.137', 'auth_result': 'success', 'session_id': 'norm_sess_8679', 'user_agent': 'Browser_1', 'session_duration': 1236, 'response_time': 0.8496373184992221, 'request_size': 67, 'response_size': 1684, 'attempt_count_for_username': 2, 'attempt_count_from_ip': 3, 'time_since_last_attempt': 3565, 'session_reused_flag': 0, 'password_correct_flag': 1, 'is_bruteforce_candidate': 0, 'is_anomalous': 0, 'failure_reason': 'bad_password'}
2025-10-31T19:02:37.381770 - {'timestamp': datetime.datetime(2025, 10, 31, 18, 1, 3, 825748), 'username': 'user_1', 'user_id': 'usr01', 'ip_address': '192.168.1.109', 'auth_result': 'success', 'session_id': 'norm_sess_6279', 'user_agent': 'Browser_1', 'session_duration': 2965, 'response_time': 1.127005579031593, 'request_size': 69, 'response_size': 1030, 'attempt_count_for_username': 1, 'attempt_count_from_ip': 5, 'time_since_last_attempt': 790, 'session_reused_flag': 0, 'password_correct_flag': 1, 'is_bruteforce_candidate': 0, 'is_anomalous': 0, 'failure_reason': ''}
2025-10-31T19:02:37.382850 - {'timestamp': datetime.datetime(2025, 10, 31, 18, 40, 53, 171462), 'username': 'user_9', 'user_id': 'usr09', 'ip_address': '192.168.1.100', 'auth_result': 'success', 'session_id': 'norm_sess_4154', 'user_agent': 'Browser_1', 'session_duration': 1265, 'response_time': 1.0217508465180158, 'request_size': 66, 'response_size': 802, 'attempt_count_for_username': 4, 'attempt_count_from_ip': 3, 'time_since_last_attempt': 3583, 'session_reused_flag': 0, 'password_correct_flag': 1, 'is_bruteforce_candidate': 0, 'is_anomalous': 0, 'failure_reason': ''}
2025-10-31T19:02:37.383857 - {'timestamp': datetime.datetime(2025, 10, 31, 18, 27, 53, 388770), 'username': 'user_9', 'user_id': 'usr09', 'ip_address': '192.168.1.197', 'auth_result': 'success', 'session_id': 'norm_sess_9160', 'user_agent': 'Browser_1', 'session_duration': 2697, 'response_time': 0.3432939474351545, 'request_size': 71, 'response_size': 1985, 'attempt_count_for_username': 2, 'attempt_count_from_ip': 7, 'time_since_last_attempt': 3531, 'session_reused_flag': 0, 'password_correct_flag': 1, 'is_bruteforce_candidate': 0, 'is_anomalous': 0, 'failure_reason': ''}
2025-10-31T19:02:37.383857 - {'timestamp': datetime.datetime(2025, 10, 31, 17, 42, 57, 838909), 'username': 'user_7', 'user_id': 'usr07', 'ip_address': '192.168.1.118', 'auth_result': 'success', 'session_id': 'norm_sess_9404', 'user_agent': 'Browser_1', 'session_duration': 2836, 'response_time': 0.2206637502692566, 'request_size': 71, 'response_size': 983, 'attempt_count_for_username': 2, 'attempt_count_from_ip': 7, 'time_since_last_attempt': 1257, 'session_reused_flag': 0, 'password_correct_flag': 1, 'is_bruteforce_candidate': 0, 'is_anomalous': 0, 'failure_reason': ''}
2025-10-31T19:02:37.384857 - {'timestamp': datetime.datetime(2025, 10, 31, 18, 44, 47, 366616), 'username': 'user_5', 'user_id': 'usr05', 'ip_address': '192.168.1.180', 'auth_result': 'success', 'session_id': 'norm_sess_8087', 'user_agent': 'Browser_1', 'session_duration': 1691, 'response_time': 0.9650594876068485, 'request_size': 65, 'response_size': 890, 'attempt_count_for_username': 3, 'attempt_count_from_ip': 1, 'time_since_last_attempt': 3419, 'session_reused_flag': 0, 'password_correct_flag': 1, 'is_bruteforce_candidate': 0, 'is_anomalous': 0, 'failure_reason': ''}
2025-10-31T19:02:37.384857 - {'timestamp': datetime.datetime(2025, 10, 31, 17, 2, 37, 378222), 'username': 'user_7', 'user_id': 'usr07', 'ip_address': '192.168.1.149', 'auth_result': 'success', 'session_id': 'norm_sess_2723', 'user_agent': 'Browser_1', 'session_duration': 1290, 'response_time': 0.7244506696156469, 'request_size': 72, 'response_size': 900, 'attempt_count_for_username': 4, 'attempt_count_from_ip': 5, 'time_since_last_attempt': 1031, 'session_reused_flag': 0, 'password_correct_flag': 1, 'is_bruteforce_candidate': 0, 'is_anomalous': 0, 'failure_reason': ''}
2025-10-31T19:02:37.385863 - {'timestamp': datetime.datetime(2025, 10, 31, 18, 26, 6, 648534), 'username': 'user_3', 'user_id': 'usr03', 'ip_address': '192.168.1.157', 'auth_result': 'success', 'session_id': 'norm_sess_9550', 'user_agent': 'Browser_1', 'session_duration': 3541, 'response_time': 0.5304921196446604, 'request_size': 67, 'response_size': 1764, 'attempt_count_for_username': 4, 'attempt_count_from_ip': 7, 'time_since_last_attempt': 934, 'session_reused_flag': 0, 'password_correct_flag': 1, 'is_bruteforce_candidate': 0, 'is_anomalous': 0, 'failure_reason': ''}
